"","Malignant","B cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","T cell"
"C3N-02713",0.613800864331343,0.0165985766790057,0.0260547502985286,0.202590718746813,0.117058121407333,0.0182699863419596,0.000134724874153349,0.00549225732086426
"C3L-04849",0.889802771188223,3.47699671003646e-06,3.34179461525567e-05,0.0137954113116947,0.0962022408421116,8.66768144396889e-05,5.36780228486931e-05,2.23268778187625e-05
"C3N-02716",0.546096886452354,0.00188010126191496,0.0465130278544735,0.233944625497219,0.0953798755582319,0.0271848491910064,0.00184944019930829,0.0471511939854908
"C3N-01755",0.417946441048402,0.114826199603744,0.0554742502917476,0.180218674346223,0.200147705882796,0.0117203454970424,0.000177465095805614,0.0194889182342381
"C3N-03009",0.553975794693819,0.0077056626416732,0.00988328507413181,0.140197772896481,0.270272215517584,0.0155770443537237,0.000172678630261133,0.00221554619232593
"C3L-00977",0.621857497558926,1.97543929339937e-07,0.0200801296794743,0.149952417521775,0.159334728215322,0.0320519911741937,6.23514098323484e-05,0.0166606868965468
"C3N-02700",0.681447467629278,0.00192902120536657,0.0258867746774616,0.157712131180507,0.0457054408953136,0.0446833777967228,0.00122685704589508,0.0414089295694553
"C3N-04279",0.704616707664059,2.91994248846134e-07,0.00736513865560278,0.145374353864186,0.131449154572923,0.00994058117105638,2.65892390541374e-06,0.00125111315401871
"C3N-02714",0.414506377505591,0.0293253481068959,0.0578063927297121,0.214140494275984,0.193414102466041,0.0442540914171689,0.000909046451972022,0.0456441470466353
"C3N-01943",0.72181879136554,0.0264117524904029,0.03243674304027,0.124738225331826,0.0418346973114456,0.0252145521282242,0.0001611607872375,0.0273840775450548
"C3L-00997",0.780893700071153,0.00974716214216313,0.0202340739990929,0.106852793919566,0.0397880907485343,0.0152036389256195,0.00699162794022774,0.0202889122536426
"C3L-02621",0.471423257165628,0.142569728407106,0.0323720843829033,0.164913541851459,0.130445993301355,0.0431815121612003,0.000442110096984211,0.014651772633363
"C3N-00297",0.65167204314275,0.00821497971592257,0.0117107810145289,0.123418514801417,0.167304216311963,0.0341242548898553,0.000386402519620343,0.00316880760394314
"C3N-01338",0.649928943200846,0.00669972304020718,0.00915510079902923,0.133098014331833,0.174681713017487,0.0222221957482999,0.000238804245396595,0.00397550561690159
"C3N-00299",0.708566996587662,2.10371563242835e-07,0.0344840129931662,0.138299566836381,0.0407770492416284,0.0391169539669635,0.00023311664594313,0.0385220933566932
"C3N-02730",0.307345079356433,0.057381615916825,0.0525201170791996,0.182710456336317,0.270917129209658,0.0686787985827791,0.00270876560220601,0.057738037916582
