source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Macrophage,Endothelial,HLA-G,KIR2DL4,2.1452649,1.0,4.421231,-0.18964337414787788,-1.142631829538009,0.012341648,0.33237118,1.0,0.41473868911388245
B cell,Malignant,GNAS,ADRB2,5.6293983,1.0,30.88191,-0.567261099447468,-0.6549385685007167,0.016463725,0.5681718,1.0,0.4147545545291156
Mast,Malignant,CALM1,KCNQ5,5.674283,0.0,28.249798,0.9822277059834207,0.9146913952105029,0.025166905,0.5572118,0.01853896941062015,0.4147545545291156
B cell,Malignant,HLA-B,LILRB2,5.443059,1.0,16.573706,-1.045997415255091,-3.347817935325102,0.007639307,0.49080592,1.0,0.4147700735270244
Malignant,T cell,TGFB1,ITGB5,4.317288,1.0,15.576759,-1.0849275791241744,-4.034543548923432,0.007158498,0.4830567,1.0,0.4147700735270244
Macrophage,Fibroblast,BSG,SLC16A7,5.6293287,0.0,29.694786,0.6601278231475259,0.32144868220540124,0.0202477,0.56335676,0.02113403294930672,0.4148086801564572
B cell,Fibroblast,CSPG4,ITGA3_ITGB1,4.6021266,0.697,16.576265,-0.0032873382709574517,-2.101598067773003,0.012618561,0.49082518,0.6401881663658101,0.4148508311074393
B cell,Endothelial,EFNA3,EPHA2,4.5265307,0.0,15.460107,0.328634761316726,0.1321543033143684,0.018328808,0.4821182,0.03234058869486619,0.4148508311074393
Dendritic,Dendritic,WNT3A,RYK,2.1540928,1.0,4.4214797,-1.0650516764226072,-2.4945950537017816,0.00734582,0.3323774,1.0,0.4148754961031853
Malignant,Endothelial,C4A,CD46,4.6485,0.0,15.459916,0.6318799905031832,0.4496979694939567,0.018967928,0.48211667,0.02113403294930672,0.4148912855583916
Dendritic,Malignant,GNAI2,ADRA2B,4.827905,0.014,16.5776,0.037212256408480165,-0.3138947913317385,0.015626136,0.49083525,0.3976312046445707,0.4149315991697482
Macrophage,Dendritic,MAML2,NOTCH3,5.629115,0.0,31.165031,0.6434298887497958,0.040408901576414635,0.02113275,0.569291,0.02113403294930672,0.4149709291589143
Dendritic,B cell,XCL2,XCR1,2.1196468,1.0,4.4214916,-0.1458591260743643,-0.7991300836498101,0.013708872,0.33237773,1.0,0.4150122679065651
Malignant,B cell,EFNB1,EPHB2,4.7587137,0.0,16.578394,0.23695672573107018,-0.921384964574961,0.013581437,0.4908412,0.2761050712676708,0.41501237771462995
T cell,Dendritic,CALR,SCARF1,4.989273,1.0,15.456838,-0.41783471646735476,-1.8817366816475805,0.010528005,0.48209178,1.0,0.41501237771462995
Mast,Macrophage,LAMC2,CD44,5.797734,1.0,16.578592,-0.1689102073748442,-3.5463167588511553,0.0061091543,0.49084273,1.0,0.4150528426669459
Malignant,T cell,GNAI2,EGFR,4.422651,1.0,15.454283,-0.8445854871961401,-3.618656946758517,0.008235432,0.48207116,1.0,0.41509316674276575
Mast,B cell,CXCL16,CXCR6,4.3170023,0.64,15.701156,0.06353209888556438,-2.6209492551127127,0.01354393,0.4840499,1.0,0.41509316674276575
B cell,B cell,IL26,IL20RB,2.126552,1.0,4.4218564,-0.5239471674587357,-2.1622935244401402,0.009846872,0.33238682,1.0,0.4151490348857139
Dendritic,T cell,MDK,ITGA4_ITGB1,4.3168397,0.985,15.831252,-0.06590963694846252,-1.4777215383262785,0.012699895,0.48508036,0.7388063583404275,0.4151741097801708
B cell,Endothelial,HLA-B,CD8A,6.0870852,1.0,28.238281,-0.8875016953356549,-3.380678458167251,0.010740525,0.5571615,1.0,0.41518739503434954
Fibroblast,Dendritic,VEGFA,GPC1,5.6287737,0.0,30.622452,0.24370033554005496,-1.6475693011786854,0.018311055,0.5671365,0.34636521920302266,0.41524149423180856
B cell,Fibroblast,APOE,LDLR,4.4658637,1.0,16.58207,-0.1614592245447783,-3.062644985592139,0.010086678,0.49086896,1.0,0.41525491979547813
B cell,B cell,HLA-G,KIR2DL4,2.155215,1.0,4.4220257,-0.16721959166819142,-1.0806533829461378,0.012343867,0.3323911,1.0,0.41528579704071705
Endothelial,Macrophage,LAMB3,CD151,5.6285763,0.0,31.676016,0.14795817628509642,-1.6719711581901446,0.017181527,0.5712837,0.3594487319995347,0.41534970072066546
Endothelial,Malignant,LAMB2,ITGA7_ITGB1,5.6603546,0.0,28.236729,1.0315890342967302,1.1237619430881831,0.034709215,0.5571547,0.008792128799820864,0.41534970072066546
Fibroblast,Macrophage,SEMA4F,NRP2,5.6284018,0.0,29.994347,0.9915753535550569,1.1583648480915154,0.028516661,0.5645909,0.007989876512020629,0.41540385606557856
Malignant,B cell,CALR,SCARF1,5.20488,1.0,15.445824,-0.10261760634596126,-1.519157710037805,0.010520504,0.48200285,1.0,0.4154165712826603
B cell,B cell,WNT2B,FZD2_LRP5,2.1047668,1.0,4.422088,-1.0950600656597467,-2.6617137608250943,0.0064487606,0.33239266,1.0,0.41542255437165954
Mast,Endothelial,CD55,ADGRE2,4.4674435,1.0,16.585024,-0.11065581245567419,-2.1404199133325745,0.011405738,0.49089122,1.0,0.41545706250367687
Malignant,Dendritic,ADAM10,NOTCH1,5.628382,0.291,31.02445,0.02696685460988152,-0.6417371990822152,0.015425295,0.5687366,0.5065552508871738,0.41545796605655827
Endothelial,T cell,GNAS,VIPR1,6.041271,0.0,28.235474,0.7452162248589675,0.6207583385394693,0.020061024,0.55714923,0.02113403294930672,0.41545796605655827
Macrophage,T cell,TXLNA,STX1A,4.3163967,0.987,16.101421,-0.07618426398410923,-0.4644258313444558,0.014637432,0.48719394,0.7451703201164572,0.4154974127558957
Dendritic,T cell,WNT10A,FZD7_LRP5,4.4356065,0.0,15.445201,0.4357673735745824,0.39468586903241465,0.017543377,0.4819978,0.03958456041727328,0.4155379092298086
Malignant,Malignant,NELL2,ROBO3,4.3161926,0.0,16.441164,0.6546264798608082,0.3510171279199841,0.026082188,0.48980266,0.02113403294930672,0.4155379092298086
T cell,B cell,SAA1,CD36,2.1115258,1.0,4.422089,-0.7293453051200872,-4.089868247997387,0.005997002,0.33239266,1.0,0.4155593068786263
Mast,Fibroblast,CCN1,ITGA5,4.9689236,0.0,16.585861,0.23808825572972514,-2.0000126030356817,0.012593567,0.49089754,0.5638826126036699,0.41557826471646697
Dendritic,Fibroblast,IL15RA,AXL,4.7303743,0.0,16.586912,0.07500627039247232,-0.34760542584140386,0.015588507,0.4909055,0.1369844748340436,0.4156187664436177
B cell,Fibroblast,ADAM17,ITGA5,5.713791,0.0,28.229235,0.0004054039782371843,-0.1249845825727518,0.017007364,0.557122,0.19856902160493387,0.4156203602763917
Malignant,B cell,LAMA5,BCAM,4.6445384,0.409,16.58711,0.08952131478674574,-2.788786056158714,0.012299508,0.49090695,1.0,0.4156591271650545
Macrophage,B cell,GRN,EGFR,6.2997756,0.0,28.228048,0.26020801964921625,-1.2775144472489366,0.014064118,0.5571168,0.2188449036870948,0.41567448105816995
Malignant,Endothelial,BMP7,ACVR1B,5.6281137,0.0,31.668247,1.1477838133973979,1.745176848470913,0.029909857,0.57125366,0.0027164699704815072,0.41567448105816995
Dendritic,Dendritic,IL1F10,SIGIRR,2.164815,1.0,4.42217,-0.9000859659280326,-1.2215202296261414,0.010170216,0.33239472,1.0,0.41569608491581367
Dendritic,Mast,APP,LRP1,5.4581614,1.0,15.442511,-0.17398602073539293,-3.5506116277457895,0.0068690367,0.48197606,1.0,0.4156996341457841
Dendritic,Macrophage,MDK,ITGA4_ITGB1,4.4601374,0.264,16.588545,0.027893293915097095,-1.2819124276901914,0.013307396,0.49091777,0.5002993027568211,0.4156996341457841
Malignant,Malignant,LGALS9,CD47,5.628095,1.0,29.947355,-0.040602831139158135,-0.7466913165021327,0.014049664,0.56439817,1.0,0.41572860453662386
Endothelial,T cell,ZG16B,CXCR4,5.0743437,0.0,15.440642,0.37575533715772697,0.5726963274678336,0.018425945,0.48196095,0.024677617606703128,0.41578051233698743
Endothelial,Dendritic,CALR,SCARF1,5.2850823,1.0,16.591246,-0.035997483125682295,-1.3963973699482362,0.0113006765,0.49093807,1.0,0.41578051233698743
Macrophage,Mast,ADAM17,ITGA5,5.6280546,0.0,31.649832,0.5408343063557871,-0.5422076219435179,0.019068182,0.5711824,0.04073430216105191,0.4157827787822088
Fibroblast,T cell,COL4A6,ITGA9_ITGB1,2.1324258,1.0,4.4222918,-0.5172579763940731,-2.5087545326185863,0.00894874,0.33239776,1.0,0.4158328277740138
Endothelial,Malignant,PSEN1,NOTCH4,4.3707843,0.999,15.439418,-0.017359923732295196,-1.3966884128211123,0.013706617,0.481951,0.838104840353362,0.41586140101790803
Macrophage,Endothelial,CCL5,ADRA2A,4.465607,0.0,16.592464,0.38939808776370033,-0.9966511045428694,0.020347798,0.49094728,0.10958307872356456,0.41586140101790803
T cell,Macrophage,PLAU,ITGA5,4.4637284,1.0,15.438798,-0.39126099813918935,-3.3701423222673137,0.008575137,0.48194605,1.0,0.41590192113874075
Fibroblast,Endothelial,NTN1,ADORA2B,4.5733557,0.0,16.59325,0.8054681387940523,1.2865738530351243,0.023612138,0.49095324,0.02113403294930672,0.41590192113874075
