gene,xcorr,resolvability
ANKRD49,0.3941946351634605,0.6058053648365396
ANKRD50,0.3586185868563397,0.6413814131436604
ANKRD52,0.3619816399046353,0.6380183600953647
ANKRD54,0.36186122535062687,0.6381387746493732
ANKRD6,0.5568224101194313,0.44317758988056866
ANKRD9,0.3702188850313957,0.6297811149686043
ANKS1A,0.3358911816030741,0.6641088183969259
ANKS3,0.4848458045827491,0.5151541954172509
ANKZF1,0.3603778715644564,0.6396221284355437
ANO10,0.25966812686861623,0.7403318731313837
ANO6,0.31396720887693974,0.6860327911230603
ANO8,0.4827977248600551,0.5172022751399449
ANO9,0.48845867280449184,0.5115413271955082
ANP32A,0.3862084203532764,0.6137915796467236
ANP32B,0.3785660117864609,0.6214339882135391
ANP32E,0.40833835303783417,0.5916616469621658
ANPEP,0.4192624557763338,0.5807375442236662
ANTKMT,0.4859559152807508,0.5140440847192491
ANTXR1,0.48887049140674727,0.5111295085932528
ANTXR2,0.4432192253214972,0.5567807746785027
ANXA1,0.5825515942914146,0.41744840570858543
ANXA11,0.4063858860837562,0.5936141139162439
ANXA2,0.31332311701511834,0.6866768829848817
ANXA2R,0.529661834772144,0.470338165227856
ANXA4,0.3495666165170925,0.6504333834829075
ANXA5,0.30301464095828123,0.6969853590417188
ANXA6,0.4770987592637539,0.5229012407362461
ANXA7,0.3209377053592886,0.6790622946407114
AOC1,0.48505340835877825,0.5149465916412217
AOC3,0.544102073780128,0.455897926219872
AP1AR,0.3992288831089224,0.6007711168910777
AP1B1,0.3482819533507739,0.6517180466492261
AP1G1,0.3065562224946916,0.6934437775053084
AP1G2,0.3503918786134039,0.6496081213865961
AP1M1,0.2627579178661108,0.7372420821338892
AP1M2,0.3710431113306965,0.6289568886693035
AP1S1,0.32286019596670357,0.6771398040332964
AP1S2,0.3780720428164516,0.6219279571835483
AP1S3,0.39115754834243227,0.6088424516575677
AP2A1,0.28491074458828997,0.7150892554117101
AP2A2,0.2792594022383647,0.7207405977616352
AP2B1,0.3976649683234947,0.6023350316765053
AP2M1,0.36402828911585466,0.6359717108841454
AP2S1,0.3464749391589846,0.6535250608410155
AP3B1,0.3334523578440504,0.6665476421559495
AP3D1,0.2873575166533036,0.7126424833466964
AP3M1,0.36099042823272093,0.639009571767279
AP3M2,0.4954193500535829,0.5045806499464172
AP3S1,0.30303174742896644,0.6969682525710336
AP3S2,0.390754851645657,0.6092451483543431
AP4B1,0.40249432490340303,0.597505675096597
AP4E1,0.3486167660781315,0.6513832339218685
AP4M1,0.38607815679694923,0.6139218432030508
AP4S1,0.3489361223099487,0.6510638776900513
AP5B1,0.3912157254027469,0.6087842745972531
AP5M1,0.3665631597063371,0.6334368402936629
AP5S1,0.3576445502362081,0.6423554497637919
AP5Z1,0.289356275195522,0.710643724804478
APAF1,0.43824135831424166,0.5617586416857583
APBA1,0.4734673153954126,0.5265326846045875
APBA2,0.6078366285988263,0.39216337140117374
APBA3,0.4236610877726759,0.5763389122273241
APBB1,0.4668391679546663,0.5331608320453337
APBB1IP,0.4820059724152088,0.5179940275847912
APBB3,0.47756998028073994,0.5224300197192601
APC,0.4029418293918882,0.5970581706081117
APC2,0.41391556723309414,0.5860844327669059
APCDD1L,0.3605038689981614,0.6394961310018386
APEH,0.32154326546671136,0.6784567345332886
APEX1,0.3582454786103751,0.641754521389625
APEX2,0.3089002243775342,0.6910997756224657
APH1A,0.3253697238064238,0.6746302761935762
APH1B,0.3265557648347957,0.6734442351652044
API5,0.3044694936169045,0.6955305063830954
APIP,0.4395878644926207,0.5604121355073792
APLF,0.4321634774761541,0.567836522523846
APLP1,0.5742588862776756,0.42574111372232437
APLP2,0.36043782385864426,0.6395621761413557
APMAP,0.35641536116600037,0.6435846388339996
APOBEC3B,0.5838500671088696,0.41614993289113045
APOBEC3C,0.4668097027710506,0.5331902972289494
APOBEC3G,0.5881601444312504,0.4118398555687496
APOBR,0.4383301729602473,0.5616698270397527
APOC1,0.570987342191594,0.42901265780840603
APOE,0.5550896296543735,0.4449103703456265
APOL1,0.6076998433896473,0.39230015661035267
APOL2,0.5422991269401142,0.4577008730598858
APOL3,0.6239950092775481,0.37600499072245186
APOL4,0.6505759166819709,0.3494240833180291
