,0
CCDC150,0.5945251892746596
GFPT2,0.5943804140974156
APOC1,0.5942793291471116
ACTA2,0.594042897529492
TRBV19,0.5938200771681231
MILR1,0.5936400789931142
CPXM1,0.5935852643587411
EVI2B,0.5935202660849861
ST6GAL1,0.5935074793996945
GNS,0.5931813222690715
ARRDC3,0.5923730490468936
TFEC,0.591913568466355
IGKV2-30,0.5915380031258928
TM4SF18,0.5915278883425906
PLCL2,0.5914395841525004
GPR141,0.591159120328304
DOK2,0.5898621680097376
PNLIPRP3,0.5893032921319611
ITGA11,0.5892789204678636
LDB2,0.5887155280373292
PTPRM,0.5884151657375148
RNASE1,0.5884122515369365
JAM3,0.5882449459783857
GPR174,0.5880976176137566
IGLV1-36,0.5880671948246593
IGLV9-49,0.5876907573396722
PCNX1,0.5875825401146385
MYL9,0.5875333537257919
ADA2,0.587487306711525
NR1H3,0.5874315267455885
TMEM176B,0.5871564591384106
KLRC1,0.5869837557335505
MS4A7,0.5869449645349547
LIPA,0.5868540864860662
RFTN2,0.5864679079492201
TNFRSF14,0.5861600197208259
LILRA6,0.585994830814764
CD8B,0.5857597771724443
TRANK1,0.5853528493725487
CCRL2,0.5852035130137412
DHRS1,0.585097731522805
NOL4L,0.5850221980184543
COX7A1,0.5848477106772707
TLR10,0.5845632769582617
SELPLG,0.5843714965544369
TMEM140,0.58384742926616
SNAI1,0.5836435915566466
EOGT,0.5833891204567091
RGS16,0.5833709398900381
SORCS2,0.5832023447564891
CLEC4E,0.583029516603838
LINC02384,0.5828714046425815
EDIL3,0.5826418193611645
DUOX1,0.5817310169463582
EPCAM,0.5816477639065569
IGKV1-8,0.58159395592579
CLEC10A,0.5815675910265881
LHFPL6,0.5815553422528151
CD300C,0.5815206011388664
SLC40A1,0.581361062771233
HDC,0.5808757764677049
ABCD2,0.5802259459286232
FGF12,0.5797986336439144
RAB8B,0.5797805047957821
MXRA8,0.5792310702105494
BMERB1,0.5790468998724981
NTM,0.5777796032905896
CD69,0.5776958496178004
LINC01561,0.5774087205931105
IGHV3-20,0.5771095525034354
SDCBP,0.5770060076954497
SLCO2B1,0.5767040444079479
LINC01480,0.5761699280064423
JCHAIN,0.5758659839957003
TIFAB,0.5757387103526469
RAB37,0.5756499731635125
ANXA6,0.5752744901036981
KRT6C,0.574901080363114
IGKV3D-15,0.57467927483955
IFITM2,0.5744481189861559
PYHIN1,0.5744379154773376
IGKV3D-11,0.5743608182139875
LOXL1,0.5743277815999486
TMEM119,0.5742041623434067
IGKV1D-16,0.5735892924471689
CD5,0.5733591085600865
PIK3CG,0.573031428527316
CALD1,0.5725753411529235
OSM,0.5725612759867774
LSP1,0.5720347675514443
FAM25C,0.5718298104080802
CHROMR,0.5717376816062613
PDGFD,0.5715746065754623
GNG2,0.5712832279229648
GPR132,0.5710600934907839
IGLV3-9,0.5709144088597098
MICAL2,0.5709001695199861
GOLM1,0.5708034335669477
CSF3R,0.5707477236926516
SULT2B1,0.5703578718882646
SRPX2,0.5696625228379473
CLEC4D,0.5696507502663531
SMARCA1,0.5693270201645022
MYO1G,0.5692305666259406
ENPP2,0.569008579621314
CCDC80,0.5684188928456475
IGHA1,0.5683170604202622
PDGFRA,0.5681288316177436
HLA-DRB5,0.5680761393484355
IL7R,0.5678977932051714
TCN2,0.5673665848764925
IL16,0.5671602328755029
ARHGEF17,0.5670535259739049
SAMD3,0.5664583121827357
LMBR1,0.56644359054311
IGKV1OR2-108,0.5662571931043758
CD274,0.566255989941421
SPRR1B,0.5662165627700835
LMO2,0.5660945246943807
CNRIP1,0.5657725320912115
PDGFRL,0.5656935485933994
FBLN5,0.5654710567666946
CORO1A,0.5654154639419239
CDC42SE2,0.5653827347291236
ALOX5,0.5653464577861192
LCK,0.5653042134711287
CPA4,0.5652939733578036
LST1,0.5651699257374854
BTN2A2,0.5648090652153192
PPP1R16B,0.5645418968983127
SPP1,0.5644613848010863
SLC39A14,0.5644313016640885
PCED1B-AS1,0.5642106581569386
ANKRD1,0.5641551515871488
CYYR1,0.5640543833218591
