cell,pathway,tcga,cptac,delta,p,n_genes,fdr
Malignant,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),-0.0021102342288941145,0.008327515795826912,-0.01043775025755167,0.9307462339069346,16,0.9862211750007254
Malignant,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),-0.0023080871906131506,0.009108350612223148,-0.011416438035666943,0.9423101729086,17,0.9919054451669473
Fibroblast,Erythrocyte Differentiation (GO:0030218),-0.004756921902298927,0.018772972747683525,-0.023529894649982452,0.9580983231459211,38,0.9934087297247763
Endothelial,Erythrocyte Differentiation (GO:0030218),-0.006351749412715435,0.0250666756182909,-0.03141842409968376,0.9723219033875576,38,0.9934087297247763
Fibroblast,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),-0.002407951047644019,0.009502695873379707,-0.01191064715385437,0.9786465910479095,16,0.9934087297247763
Macrophage,Keratinocyte Differentiation (GO:0030216),-0.0008751893183216453,0.003453865647315979,-0.004329055082052946,0.9818094632252496,31,0.9934087297247763
Malignant,Immunoglobulin Mediated Immune Response (GO:0016064),-0.0033713141456246376,0.013304556719958782,-0.01667587086558342,0.9833910096591622,18,0.9934087297247763
Fibroblast,Sprouting Angiogenesis (GO:0002040),-0.006181236822158098,0.02439372055232525,-0.03057495690882206,0.98708152779115,26,0.9934087297247763
Fibroblast,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),-0.00321572064422071,0.012690459378063679,-0.015906179323792458,0.9886632676508454,17,0.9934087297247763
Endothelial,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),-0.0014380341162905097,0.005675322376191616,-0.007113356608897448,0.9934087297247763,16,0.9934087297247763
