,Malignant,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell
ABHD12,0.23881840263226925,0.20594430034226308,0.13672225101342572,0.23424925066048508,0.23341999736912564,0.1518394686086113,0.003241300178551113,0.2006004113367788
ABHD13,0.21546417191331063,0.197054984311068,0.09437341539357469,0.21376024516853578,0.21168200364866174,0.11662762678803484,0.16156189466476817,0.2110219054589544
ABHD14A,0.24462520871802101,0.18300167824827868,0.08341006010744954,0.23718250327155138,0.2434128621477055,0.1382793906490296,0.07716800868156846,0.15141905779716136
ABHD14B,0.2290442950280854,0.20979115439985696,0.12381983484528535,0.224815560551421,0.22754963051845384,0.14825136253316978,0.13551543332755314,0.2113623750394266
ABHD15,0.30284569732165395,0.1975303705028822,0.0548079975725719,0.3073066028227334,0.3007513891637429,0.0769124316427845,0.01011887450006875,0.18444717489468562
ABHD16A,0.24105118507847406,0.049279443573007835,0.1854203358049103,0.20591022819033306,0.25776864572517605,0.05271379549188341,0.18306939449359794,0.17443576393492122
ABHD17A,0.2537074719895517,0.17144600737622406,0.050338800162256024,0.25363225257153427,0.2539842999341567,0.14063225762578552,0.11836138084312306,0.21088673476647998
ABHD17B,0.2002903692523818,0.16592493267314898,0.154094421975455,0.20436752260252672,0.20410641432316928,0.12811533833352085,0.01963404818893583,0.1354025924016062
ABHD17C,0.19263564083704618,0.14851185381792104,0.1397352190861383,0.20388555259614602,0.2116999978595286,0.006416633453611199,0.12880715756879366,0.265693399615406
ABHD18,0.2548036470187069,0.18444555516145678,0.09143766497932258,0.2559188813246134,0.259356720738171,0.06529085958573032,0.06098624254635764,0.28055818530067195
ABHD2,0.16053047611189364,0.23490601321403878,0.10552285175035665,0.1562736075810447,0.15479496403856155,0.0939374546674024,0.08170665343521197,0.20765897247362813
ABHD3,0.27584361369127475,0.20187698276862284,0.21640677999200975,0.2849407417502834,0.2781839121900016,0.11736690260081657,0.06318218242426454,0.17238722724129749
ABHD4,0.19770302238011347,0.16387170725615752,0.06762692194774608,0.1936208439960218,0.1945953270476429,0.15482743567808058,0.1203472537385484,0.21631470268047098
ABHD5,0.15461087023023629,0.20105841975368755,0.10764037156545789,0.15880304344403676,0.14903535563399606,0.10936742232986643,0.15910876438577506,0.2848155049255071
ABHD6,0.19407204209622525,0.16500174573196597,0.06898069298421938,0.21006213782522754,0.19908076332563926,0.1572449583188064,0.13645294903277352,0.21747318050193862
ABHD8,0.28902217216380244,0.22535296345054662,-0.023550742490688413,0.2822941001216006,0.28763206848105893,0.04436012293511718,0.18019433985113914,0.2660587300413845
ABI1,0.24762641456264978,0.21857755997037875,0.08046810652597587,0.24245790379958426,0.24989979552362826,0.13257067029925929,0.12216619549764555,0.13969900645762562
ABI2,0.27465113371964545,0.22303107747759413,0.14460831777520447,0.2778180586165889,0.2739653410784305,0.15391482659141906,0.12277838409474759,0.2596220162606921
ABITRAM,0.2802929687773473,0.21011458167030686,0.12157400556642432,0.28301342907740595,0.28433425274066904,0.06275220267940464,0.18630862085460556,0.2410555028449021
ABL1,0.24500860532919036,0.21447252978821799,0.08246592742490214,0.22971112481088377,0.2367867953095499,0.0767350142751961,0.04226776378807481,0.2402053022110539
ABL2,0.2482224577744641,0.1755989629038814,0.19183234014314762,0.2568017984882634,0.2571307090387237,0.1493539986582483,0.13492433561901482,0.28268233559987677
ABLIM1,0.10632566833819564,0.15973377237886674,0.22542101928366842,0.11119111922749395,0.09821694610105988,0.1616352957287467,0.01130050381481972,-0.04391320825942974
ABR,0.22927748680376334,0.1781342041540768,0.09582597038079674,0.22077402073997687,0.22725063596945114,0.21128263825410584,-0.015996627174994314,0.1385162226142287
ABRACL,0.2743935963054914,0.22353543006637555,0.11658407598591618,0.27165931064608273,0.27313244909129936,0.1037593509102871,0.07845072253818182,0.12995739359682942
ABRAXAS1,0.3174301836900683,0.17326773741074597,0.07946947737311644,0.3116771588908056,0.31228757573976107,0.16846058841278108,0.06965093997903288,0.31057322074462157
ABRAXAS2,0.26350474822534936,0.23065418108885724,0.14675279343792527,0.2635952437105888,0.2654869853383994,0.13734255439922155,0.09454581819226908,0.259221547948377
ABT1,0.29210939665861546,0.2101215264513478,0.08826293663156037,0.29222333837011755,0.29442282741297815,0.10286678783763742,0.07524424399494802,0.19022114945583624
ABTB1,0.20664656514585625,0.18295076774373784,0.05955912661503578,0.20466864038883648,0.20318630190371756,0.18968450130246942,0.022162885049503662,0.1254001999634707
ACAA1,0.17923717929597746,0.20945530716989916,0.025892094870845834,0.17419563983434067,0.1791070269748701,0.11992231823875603,0.1238554972589744,0.22343100494335072
ACAA2,0.30885667507239234,0.21615983213427042,0.10485044484173218,0.31547136002151693,0.3106529204762657,0.05717950271682869,0.11366841877438442,0.3035520469809328
ACACA,0.22898709970823808,0.19896388043180166,0.134402836921164,0.2243499989067128,0.22775348667494125,0.07429315306356074,0.11548312362037978,0.19732041865158056
ACACB,0.17216174935835024,0.10513960865202845,0.054313216740607205,0.2385760767005694,0.201218922441466,0.30991735029734635,0.08199527049346299,0.29571099634422937
